20230622	18:06:08	 7bc8866b-6a79-4c82-b9a6-02aa00d120f1	 GET	undefined/
20230622	18:06:08	 1fbeb519-2be0-4250-9231-02689183a320	 GET	undefined/css/style.css
20230622	18:06:09	 c935b9cc-907e-46ee-b79e-43e6ac5d501e	 GET	undefined/
20230622	18:19:18	 18060f79-081e-4eb8-b29c-9e60d7f8578d	 GET	undefined	/
20230622	18:19:36	 dfcc9a2a-24e9-44b5-a6bd-327389de9a17	 GET	undefined	/css/style.css
20230622	18:27:58	 571e36b0-514b-4a85-bde0-84cc7a945830	 GET	undefined	/
20230622	18:27:58	 6f195564-7292-4cab-977c-9aecefbd434f	 GET	undefined	/css/style.css
20230622	18:27:59	 f09e89a0-dd2d-4149-b729-517d8d529c92	 GET	undefined	/
20230622	18:44:10	 2a0f1dda-bbde-4bc5-b8a9-470e0ef69c0b	 OPTIONS	https://www.google.com	/
20230622	18:44:10	 3a2e1650-08ec-4284-84f7-f01852d77041	 GET	https://www.google.com	/
20230622	19:12:48	 527de23d-db5f-499f-b13a-bdd5adf03545	 OPTIONS	https://www.google.com	/
20230622	19:12:48	 4683a72c-3da3-41a8-97b7-b148aa0c4c7a	 GET	https://www.google.com	/
20230622	19:13:05	 b1be38c0-cf07-40dc-ba09-7bb175e7190d	 OPTIONS	https://www.google.com	/
20230622	19:13:05	 db34a983-0415-4e0d-b22c-b0c9bf5b6227	 GET	https://www.google.com	/
20230622	19:13:33	 be47adee-0d86-4880-9f33-3a428e93c4a0	 OPTIONS	https://www.google.com	/
20230622	19:13:33	 1427b9d6-6dcc-47b2-80a5-ffac64bebe75	 GET	https://www.google.com	/
20230622	19:22:18	 4499e7f7-d285-44e3-8c7c-147a0971d59a	 OPTIONS	https://www.google.com	/
20230622	19:22:18	 40255906-08ea-46ab-8099-737d89733d52	 GET	https://www.google.com	/
20230622	19:22:30	 2af9b656-1598-4d2e-9262-1b6ab3a32b4c	 OPTIONS	https://www.google.com	/
20230622	19:22:30	 f45e8b0d-2a39-41d3-9886-c68d5f7cde62	 GET	https://www.google.com	/
20230622	19:22:46	 a08baadf-c285-4ecd-bf8d-a6673be112e4	 OPTIONS	https://www.google.com	/
20230622	19:22:46	 caf89ac3-e8c5-4aac-b95d-c7f3685bfd37	 GET	https://www.google.com	/
20230622	19:23:19	 8d4ee6f7-1957-4520-9352-fb2863e9959c	 OPTIONS	https://www.google.com	/
20230622	19:23:19	 a31e3505-4dd2-4135-871b-e97e8fe0e429	 GET	https://www.google.com	/
20230622	19:54:12	 e0c93de5-5a0e-4868-b24d-ce206320cbd5	 GET	undefined	/
20230622	19:54:13	 025d74df-9121-4136-a3e8-871cd675e68b	 GET	undefined	/
20230622	19:54:46	 66a99eb1-f4bf-499a-a31c-4f361f9f37b3	 GET	undefined	/
20230622	19:54:46	 5dca66b9-7d15-4be4-8923-68a2cecf7e13	 GET	undefined	/css/style.css
20230622	19:54:46	 9c926f83-e0b8-4316-8fff-1800b27c6f87	 GET	undefined	/
20230623	15:01:31	 f11169aa-9872-4fee-8215-56936503158a	 GET	undefined	/
20230623	15:01:32	 ab1a98da-b571-4eae-a12a-0f7ddfc2ef90	 GET	undefined	/css/style.css
20230623	15:01:32	 18cc204d-1a56-45f5-8c0a-a761ecff46ea	 GET	undefined	/
20230623	15:02:52	 7da38eec-b45d-420f-9d5d-49f12298e005	 OPTIONS	https://www.google.com	/
20230623	15:02:52	 0dbce6cc-6191-40d5-890a-d3e39853ea53	 GET	https://www.google.com	/
20230623	15:05:19	 c14aeebc-d75f-436c-8785-9bdd242918f9	 GET	undefined	/
20230623	15:05:19	 70e749e4-20bf-4256-939a-aca3e93dc3d0	 GET	undefined	/css/style.css
20230623	15:05:19	 5158bb48-f895-43bb-a381-2750b50e50c1	 GET	undefined	/
